Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency
L87,18890,A13,C34,B27,PCS,C,C07
L23,16130,A14,C32,B30,PCS,D,C08
L32,11778,A13,C32,B29,PCS,C,C08
L44,17827,A20,C34,B24,PCS,C,C10
L57,19644,A13,C38,B23,PCS,D,C10
L59,11884,A17,C38,B25,PCS,C,C02
L81,10543,A17,C37,B22,PCS,C,C04
L96,10435,A11,C32,B27,PCS,D,C08
L16,16314,A15,C35,B24,PCS,C,C02
L30,14363,A17,C34,B25,PCS,D,C02
L38,16116,A13,C39,B29,PCS,D,C02
L63,14648,A18,C32,B30,PCS,D,C07
L72,18815,A11,C34,B20,PCS,C,C01
L12,17910,A16,C39,B30,PCS,C,C02
L17,12523,A10,C38,B27,PCS,D,C07
L25,18922,A10,C37,B21,PCS,C,C09
L29,16002,A19,C30,B27,PCS,C,C02
L30,15352,A18,C35,B22,PCS,D,C07
L47,14220,A17,C30,B26,PCS,D,C10
L59,15790,A15,C32,B25,PCS,D,C04
L66,10016,A11,C37,B28,PCS,D,C04
L81,14434,A11,C33,B22,PCS,D,C04
L90,13302,A18,C35,B22,PCS,C,C09
L24,11077,A14,C32,B21,PCS,C,C05
L41,13363,A10,C36,B23,PCS,C,C08
L51,11847,A17,C40,B21,PCS,C,C09
L56,18968,A13,C35,B30,PCS,C,C09
L69,12737,A10,C38,B29,PCS,C,C02
L89,18205,A10,C40,B20,PCS,C,C06
L94,13101,A12,C31,B25,PCS,D,C10
L12,11913,A18,C30,B29,PCS,C,C03
L60,12496,A10,C35,B22,PCS,D,C10
L68,10565,A19,C39,B22,PCS,D,C10
L76,10453,A15,C37,B29,PCS,D,C10
L87,17679,A18,C36,B27,PCS,C,C06
L13,11155,A18,C32,B26,PCS,D,C06
L15,13511,A15,C34,B29,PCS,C,C07
L25,12354,A12,C30,B25,PCS,C,C01
L35,14248,A18,C39,B22,PCS,D,C04
L54,19092,A16,C33,B24,PCS,C,C02
L58,13185,A17,C35,B21,PCS,D,C05
L67,17465,A14,C34,B20,PCS,C,C02
L71,18164,A18,C40,B27,PCS,C,C03
L96,13932,A10,C39,B28,PCS,D,C07
L11,13648,A16,C34,B20,PCS,C,C07
L11,17044,A18,C37,B20,PCS,D,C01
L25,15876,A15,C38,B26,PCS,C,C04
L27,13196,A17,C32,B22,PCS,C,C07
L44,11863,A10,C40,B23,PCS,D,C01
L63,12664,A11,C37,B29,PCS,D,C04
L95,11745,A20,C36,B20,PCS,D,C05
L24,15330,A19,C34,B25,PCS,C,C05
L43,13970,A18,C38,B20,PCS,C,C03
L51,13178,A16,C40,B30,PCS,D,C01
L64,17873,A10,C36,B30,PCS,C,C07
L70,11314,A20,C34,B23,PCS,D,C04
L94,16329,A20,C35,B23,PCS,C,C02
L12,12016,A19,C33,B23,PCS,C,C02
L15,17293,A15,C38,B30,PCS,D,C01
L29,10383,A20,C30,B25,PCS,C,C03
L35,15542,A18,C31,B29,PCS,C,C08
L44,10809,A16,C30,B30,PCS,C,C06
L47,15680,A13,C31,B28,PCS,C,C05
L69,14058,A19,C35,B25,PCS,C,C07
L78,10900,A14,C40,B24,PCS,C,C06
L82,18216,A14,C36,B30,PCS,D,C01
L89,17980,A17,C34,B23,PCS,C,C04
L10,15306,A15,C32,B26,PCS,D,C05
L14,14409,A19,C35,B28,PCS,C,C04
L18,16239,A20,C40,B30,PCS,C,C10
L19,10151,A20,C35,B22,PCS,D,C10
L34,11628,A17,C34,B28,PCS,C,C09
L95,11380,A17,C37,B24,PCS,D,C07
L15,12102,A13,C31,B30,PCS,D,C07
L31,13505,A12,C39,B20,PCS,D,C05
L41,17802,A17,C40,B29,PCS,D,C02
L59,18280,A16,C40,B29,PCS,D,C10
L63,11288,A14,C30,B25,PCS,C,C07
L70,13859,A15,C40,B24,PCS,C,C01
L81,13948,A16,C37,B29,PCS,C,C09
L89,11395,A10,C30,B22,PCS,C,C06
L91,14458,A20,C31,B28,PCS,D,C05
L98,12487,A13,C40,B23,PCS,C,C02
L24,19341,A16,C39,B25,PCS,D,C07
L36,17394,A19,C35,B20,PCS,C,C05
L51,15203,A10,C38,B30,PCS,C,C03
L54,19838,A12,C32,B25,PCS,D,C05
L72,19946,A19,C32,B30,PCS,D,C01
L80,13415,A15,C33,B25,PCS,C,C06
L18,17505,A17,C33,B30,PCS,C,C07
L20,12054,A19,C32,B28,PCS,D,C06
L32,15302,A18,C40,B24,PCS,D,C02
L36,14826,A17,C32,B20,PCS,D,C03
L49,18787,A20,C31,B28,PCS,D,C06
L71,17745,A13,C31,B26,PCS,C,C02
L91,11330,A18,C30,B30,PCS,C,C04
L96,13755,A18,C34,B23,PCS,D,C07
L31,16191,A18,C37,B29,PCS,D,C05
L46,17571,A18,C36,B27,PCS,C,C04
L53,12135,A12,C32,B30,PCS,D,C06
L74,19971,A10,C33,B27,PCS,D,C02
L76,12130,A13,C36,B24,PCS,C,C01
L79,12543,A13,C32,B30,PCS,D,C07
L82,15061,A15,C32,B26,PCS,D,C04
L94,11210,A19,C30,B22,PCS,C,C09
L98,18396,A18,C38,B24,PCS,D,C05
L41,13016,A13,C38,B27,PCS,D,C09
L43,10564,A18,C34,B22,PCS,C,C02
L45,14487,A16,C34,B29,PCS,C,C01
L49,14493,A15,C33,B30,PCS,D,C10
L55,18770,A10,C31,B28,PCS,D,C06
L56,17514,A13,C39,B30,PCS,D,C08
L74,14397,A17,C40,B30,PCS,C,C07
L12,11782,A11,C31,B26,PCS,C,C03
L24,19223,A18,C40,B25,PCS,D,C07
L36,11593,A13,C40,B22,PCS,C,C08
L42,19494,A19,C35,B20,PCS,D,C07
L52,17914,A10,C33,B30,PCS,C,C05
L54,17991,A15,C40,B23,PCS,C,C05
L58,14992,A10,C35,B28,PCS,C,C10
L87,13065,A17,C31,B25,PCS,D,C02
L90,16861,A16,C31,B21,PCS,D,C07
L22,15457,A11,C40,B23,PCS,C,C06
L42,12912,A14,C38,B22,PCS,C,C10
L44,18255,A13,C33,B23,PCS,C,C04
L58,18068,A19,C37,B25,PCS,C,C07
L63,14849,A16,C33,B28,PCS,C,C01
L64,10055,A18,C40,B21,PCS,D,C08
L70,16576,A18,C31,B24,PCS,C,C02
L71,12782,A17,C33,B25,PCS,D,C05
L77,13489,A20,C32,B25,PCS,D,C09
L79,19555,A19,C35,B24,PCS,C,C05
L92,14780,A10,C35,B27,PCS,D,C04
L21,18097,A12,C37,B23,PCS,C,C10
L46,11989,A17,C38,B22,PCS,C,C02
L59,11911,A11,C37,B27,PCS,D,C07
L63,14559,A20,C32,B29,PCS,D,C02
L79,15207,A11,C32,B25,PCS,D,C10
L14,17877,A12,C30,B22,PCS,D,C09
L19,16302,A13,C32,B25,PCS,D,C07
L20,15973,A17,C34,B25,PCS,D,C07
L34,16200,A17,C38,B26,PCS,D,C03
L43,19786,A13,C38,B23,PCS,C,C07
L47,16134,A18,C33,B25,PCS,C,C09
L63,14611,A10,C37,B28,PCS,D,C05
L81,13976,A10,C38,B30,PCS,D,C01
L89,14530,A17,C40,B25,PCS,C,C03
L90,14443,A20,C39,B27,PCS,D,C01
L96,10282,A20,C31,B22,PCS,D,C08
L15,14731,A19,C32,B28,PCS,D,C03
L15,11453,A14,C30,B25,PCS,C,C10
L22,18700,A20,C36,B25,PCS,C,C08
L31,12691,A15,C37,B27,PCS,C,C02
L34,16263,A15,C30,B20,PCS,D,C01
L70,16427,A18,C38,B25,PCS,C,C09
L98,16013,A12,C35,B23,PCS,C,C06
L25,18595,A14,C40,B29,PCS,C,C05
L26,13237,A17,C33,B26,PCS,C,C07
L33,18670,A15,C31,B27,PCS,D,C07
L49,12486,A10,C30,B20,PCS,C,C09
L50,16890,A13,C39,B22,PCS,D,C09
L51,18339,A11,C38,B27,PCS,C,C04
L58,18934,A15,C32,B21,PCS,D,C05
L63,13229,A15,C34,B25,PCS,D,C06
L65,18200,A16,C40,B21,PCS,C,C06
L75,19437,A13,C33,B20,PCS,C,C01
L78,17516,A19,C38,B20,PCS,C,C01
L10,13351,A19,C37,B22,PCS,C,C07
L17,11022,A11,C35,B25,PCS,D,C08
L26,17660,A11,C32,B30,PCS,D,C09
L33,15403,A12,C35,B23,PCS,C,C05
L33,12439,A18,C32,B29,PCS,D,C06
L57,15988,A11,C37,B20,PCS,C,C03
L79,11789,A11,C37,B30,PCS,C,C05
L83,18994,A19,C40,B27,PCS,C,C01
L88,11950,A11,C32,B27,PCS,C,C10
L90,13429,A12,C32,B20,PCS,D,C01
L14,14912,A19,C31,B23,PCS,C,C06
L16,17143,A16,C33,B22,PCS,C,C04
L27,15319,A12,C36,B25,PCS,C,C06
L35,14332,A19,C34,B26,PCS,D,C03
L36,15779,A10,C39,B30,PCS,C,C10
L50,14302,A14,C40,B30,PCS,D,C03
L56,16982,A12,C31,B20,PCS,C,C03
L72,12485,A19,C40,B29,PCS,D,C07
L74,17932,A10,C34,B30,PCS,D,C10
L79,14127,A12,C40,B20,PCS,C,C05
L99,18353,A10,C31,B26,PCS,C,C10
L99,11970,A17,C38,B26,PCS,C,C06
L22,13954,A20,C37,B22,PCS,D,C05
L42,16481,A20,C39,B26,PCS,D,C09
L48,11973,A13,C32,B27,PCS,C,C06
L49,13731,A15,C35,B22,PCS,D,C01
L53,15820,A14,C32,B29,PCS,C,C10
L58,18937,A20,C32,B20,PCS,C,C10
L72,19995,A14,C38,B23,PCS,C,C03
L84,10446,A12,C37,B30,PCS,D,C03
L95,17007,A14,C36,B24,PCS,D,C04
L99,14420,A16,C40,B27,PCS,C,C09
L17,17661,A14,C35,B22,PCS,D,C03
L25,18794,A15,C32,B22,PCS,D,C10
L53,11389,A14,C40,B28,PCS,C,C01
L68,16516,A10,C33,B30,PCS,C,C10
L75,12847,A17,C39,B30,PCS,D,C08
L93,12173,A14,C33,B21,PCS,D,C04
L94,17930,A14,C37,B24,PCS,C,C07
L94,11181,A19,C38,B30,PCS,D,C02
L98,15238,A18,C33,B21,PCS,D,C05
L30,10211,A10,C31,B20,PCS,C,C02
L36,13791,A20,C35,B27,PCS,D,C03
L37,11726,A17,C38,B26,PCS,C,C10
L34,13278,A18,C35,B30,PCS,C,C08
L34,19955,A14,C30,B28,PCS,D,C07
L47,10688,A15,C35,B25,PCS,C,C10
L66,13739,A17,C36,B28,PCS,C,C09
L73,10886,A15,C36,B22,PCS,D,C09
L70,11556,A11,C31,B28,PCS,C,C02
L93,13182,A20,C34,B25,PCS,D,C04
L94,14800,A12,C34,B26,PCS,C,C01
L98,13545,A18,C39,B21,PCS,C,C09
L30,18091,A16,C38,B22,PCS,D,C06
L47,13580,A20,C39,B30,PCS,D,C06
L57,11078,A19,C38,B29,PCS,C,C07
L62,17552,A12,C40,B25,PCS,C,C08
L74,13649,A11,C36,B22,PCS,D,C05
L87,10782,A19,C34,B25,PCS,C,C07
L94,14622,A16,C37,B27,PCS,D,C04
L12,12034,A20,C33,B20,PCS,D,C07
L25,14255,A18,C40,B26,PCS,D,C09
L30,14616,A13,C33,B25,PCS,C,C09
L40,10122,A10,C31,B26,PCS,C,C10
L48,15481,A10,C34,B23,PCS,C,C09
L57,12760,A10,C40,B25,PCS,D,C05
L66,13309,A18,C33,B27,PCS,C,C06
L82,16066,A11,C32,B23,PCS,D,C09
L91,15072,A18,C35,B30,PCS,C,C07
L97,17101,A18,C35,B28,PCS,C,C03
L11,19455,A11,C38,B30,PCS,D,C08
L15,14563,A20,C38,B25,PCS,D,C07
L21,15225,A20,C35,B28,PCS,C,C02
L25,19723,A15,C31,B26,PCS,D,C02
L34,10421,A10,C37,B28,PCS,D,C08
L40,15621,A17,C40,B30,PCS,D,C07
L45,15302,A15,C36,B30,PCS,D,C05
L47,10088,A15,C31,B26,PCS,C,C03
L67,15433,A13,C39,B24,PCS,C,C03
L71,16854,A11,C34,B28,PCS,D,C05
L85,15490,A16,C40,B22,PCS,D,C08
L14,17470,A19,C38,B22,PCS,C,C08
L21,11034,A12,C30,B23,PCS,D,C04
L41,15337,A20,C34,B28,PCS,C,C06
L71,10425,A11,C30,B30,PCS,D,C01
L84,19978,A13,C30,B20,PCS,C,C07
L88,18239,A19,C40,B26,PCS,D,C10
L16,17667,A18,C31,B28,PCS,D,C06
L22,11973,A11,C35,B29,PCS,C,C07
L28,12040,A20,C34,B24,PCS,D,C07
L45,10749,A18,C40,B24,PCS,C,C09
L58,15412,A18,C34,B21,PCS,C,C03
L71,17424,A13,C35,B20,PCS,C,C03
L71,11383,A17,C39,B29,PCS,C,C06
L10,12066,A13,C35,B30,PCS,C,C04
L14,16067,A12,C34,B21,PCS,D,C10
L20,15208,A17,C39,B25,PCS,D,C04
L22,12286,A10,C36,B23,PCS,D,C01
L25,12252,A13,C36,B24,PCS,C,C02
L30,14464,A11,C34,B29,PCS,D,C04
L38,19599,A19,C37,B21,PCS,D,C06
L53,17894,A20,C36,B30,PCS,C,C06
L53,18390,A16,C34,B28,PCS,C,C03
L65,19662,A13,C39,B25,PCS,C,C08
L76,15858,A17,C35,B22,PCS,C,C10
L83,10729,A13,C34,B24,PCS,C,C05
L19,12945,A18,C38,B26,PCS,D,C02
L41,18015,A17,C38,B28,PCS,C,C01
L48,19508,A10,C40,B26,PCS,D,C03
L58,10762,A12,C39,B24,PCS,C,C05
L83,18064,A10,C37,B24,PCS,D,C10
L87,19063,A16,C32,B23,PCS,D,C06
L23,17223,A20,C38,B28,PCS,D,C09
L51,15726,A12,C33,B29,PCS,C,C04
L94,17725,A13,C32,B20,PCS,C,C01
L35,17109,A15,C40,B20,PCS,D,C01
L47,11878,A17,C31,B21,PCS,C,C04
L51,15789,A18,C32,B23,PCS,D,C08
L54,18051,A18,C36,B29,PCS,C,C09
L56,16092,A13,C31,B24,PCS,C,C01
L86,17492,A17,C34,B26,PCS,D,C10
L93,11665,A19,C31,B24,PCS,D,C07
L94,18831,A16,C36,B20,PCS,D,C05
L14,12295,A18,C32,B30,PCS,C,C04
L23,18526,A17,C36,B20,PCS,D,C07
L44,12123,A19,C32,B23,PCS,C,C07
L51,15587,A17,C32,B29,PCS,C,C09
L51,19248,A15,C33,B21,PCS,C,C07
L59,18447,A20,C37,B28,PCS,C,C10
L66,15915,A15,C37,B24,PCS,C,C08
L92,11038,A16,C38,B25,PCS,C,C08
L18,15202,A18,C37,B27,PCS,D,C04
L24,10012,A10,C34,B27,PCS,C,C02
L32,13746,A11,C32,B21,PCS,D,C08
L41,19323,A20,C35,B29,PCS,D,C07
L42,12370,A12,C34,B27,PCS,C,C02
L71,10122,A13,C39,B28,PCS,D,C03
L88,12133,A10,C40,B20,PCS,C,C08
L17,18449,A20,C32,B27,PCS,D,C10
L30,17103,A12,C30,B21,PCS,C,C01
L34,14552,A20,C40,B29,PCS,C,C03
L40,19184,A12,C31,B29,PCS,C,C06
L45,13472,A12,C33,B22,PCS,D,C04
L51,14799,A15,C33,B20,PCS,D,C01
L71,15839,A17,C31,B21,PCS,C,C10
L72,18009,A16,C30,B20,PCS,D,C07
L40,12044,A14,C34,B24,PCS,D,C06
L47,13312,A16,C30,B30,PCS,C,C08
L51,11376,A17,C30,B23,PCS,D,C04
L53,13197,A10,C39,B30,PCS,C,C05
L59,14258,A18,C38,B20,PCS,C,C02
L60,13564,A18,C39,B21,PCS,C,C07
L76,13572,A11,C40,B28,PCS,C,C10
L88,11171,A18,C30,B22,PCS,C,C08
L88,16318,A11,C31,B25,PCS,C,C01
L12,11322,A19,C33,B23,PCS,C,C08
L22,11767,A13,C30,B25,PCS,D,C06
L33,11454,A17,C34,B20,PCS,D,C09
L34,14220,A12,C38,B26,PCS,D,C03
L50,19672,A20,C32,B26,PCS,D,C10
L52,13261,A13,C30,B21,PCS,D,C05
L84,18464,A20,C35,B21,PCS,D,C10
L89,12689,A20,C37,B22,PCS,D,C09
L13,16247,A16,C30,B22,PCS,D,C08
L16,14291,A15,C31,B25,PCS,C,C03
L54,13431,A13,C38,B29,PCS,C,C04
L55,13056,A12,C36,B28,PCS,C,C08
L59,17615,A12,C36,B26,PCS,D,C08
L90,14518,A18,C33,B29,PCS,D,C06
L92,11347,A15,C31,B23,PCS,C,C10
L18,19352,A15,C32,B21,PCS,C,C09
L45,19490,A14,C35,B24,PCS,D,C01
L57,11215,A12,C35,B26,PCS,C,C06
L60,18604,A15,C34,B28,PCS,C,C10
L87,18979,A14,C31,B22,PCS,C,C10
L96,19077,A20,C32,B30,PCS,C,C06
L11,11963,A19,C36,B20,PCS,D,C08
L28,12201,A18,C36,B21,PCS,C,C07
L36,13817,A20,C34,B30,PCS,D,C06
L72,13185,A13,C33,B24,PCS,C,C05
L72,15425,A14,C30,B29,PCS,C,C06
L79,12894,A10,C38,B22,PCS,C,C05
L80,16749,A19,C34,B28,PCS,C,C10
L81,16866,A10,C32,B27,PCS,C,C10
L10,14415,A18,C32,B29,PCS,D,C03
L13,16606,A19,C34,B27,PCS,C,C03
L24,11308,A13,C40,B27,PCS,C,C08
L34,13557,A14,C35,B24,PCS,C,C06
L41,15785,A17,C38,B30,PCS,D,C04
L68,16243,A19,C30,B25,PCS,D,C06
L76,11286,A17,C31,B27,PCS,C,C04
L88,11168,A20,C30,B28,PCS,C,C09
L25,19175,A15,C39,B28,PCS,C,C03
L30,14918,A16,C34,B28,PCS,C,C09
L41,12806,A14,C32,B29,PCS,D,C05
L61,15748,A19,C36,B29,PCS,C,C04
L69,14546,A11,C36,B20,PCS,D,C04
L81,10082,A18,C31,B22,PCS,D,C03
L86,12615,A20,C31,B29,PCS,C,C09
L87,19077,A12,C36,B23,PCS,D,C06
L99,10320,A15,C37,B27,PCS,D,C04
L12,15357,A13,C30,B27,PCS,C,C06
L31,18929,A20,C36,B22,PCS,D,C02
L51,16295,A15,C37,B26,PCS,C,C08
L76,11714,A14,C33,B25,PCS,D,C10
L78,17193,A11,C38,B28,PCS,D,C06
L81,14637,A12,C37,B25,PCS,D,C05
L85,18977,A11,C36,B22,PCS,D,C02
L11,17800,A12,C31,B27,PCS,C,C05
L13,17792,A17,C38,B30,PCS,D,C08
L23,19800,A14,C38,B21,PCS,C,C07
L35,13354,A10,C37,B24,PCS,D,C09
L41,17360,A17,C33,B30,PCS,C,C09
L49,12956,A12,C39,B28,PCS,D,C07
L68,16324,A20,C31,B26,PCS,D,C10
L84,16418,A20,C37,B22,PCS,D,C02
L86,10006,A15,C30,B21,PCS,D,C04
L88,16173,A17,C30,B30,PCS,C,C08
L93,17243,A15,C32,B20,PCS,D,C04
L13,10396,A11,C40,B29,PCS,C,C05
L15,16096,A17,C35,B30,PCS,C,C03
L21,19744,A18,C37,B23,PCS,D,C09
L38,18525,A18,C40,B25,PCS,D,C10
L53,16046,A12,C39,B24,PCS,C,C09
L65,18783,A16,C39,B26,PCS,D,C08
L66,14956,A17,C31,B26,PCS,D,C03
L72,11289,A14,C33,B30,PCS,C,C05
L76,13582,A16,C38,B28,PCS,D,C06
L86,10068,A15,C31,B20,PCS,D,C09
L19,14390,A10,C39,B21,PCS,C,C05
L44,17096,A20,C38,B21,PCS,C,C05
L62,13125,A12,C31,B27,PCS,C,C05
L83,16878,A17,C37,B24,PCS,D,C03
L91,16079,A13,C35,B29,PCS,D,C06
L97,17259,A15,C35,B27,PCS,D,C07
L98,15150,A16,C34,B27,PCS,D,C08
L40,14594,A11,C31,B27,PCS,C,C07
L43,10065,A11,C32,B21,PCS,C,C06
L49,17275,A19,C32,B21,PCS,D,C06
L54,17479,A18,C33,B26,PCS,D,C09
L55,17601,A11,C37,B21,PCS,C,C06
L77,18814,A14,C38,B23,PCS,C,C04
L81,15228,A14,C40,B25,PCS,D,C08
L82,18179,A12,C37,B26,PCS,C,C04
L24,15444,A15,C35,B27,PCS,D,C02
L26,18659,A16,C34,B21,PCS,D,C03
L28,15862,A15,C38,B21,PCS,C,C06
L35,19750,A12,C37,B21,PCS,D,C08
L38,15500,A16,C38,B21,PCS,D,C10
L41,16180,A18,C34,B23,PCS,D,C01
L58,14251,A14,C37,B21,PCS,D,C04
L60,19661,A16,C33,B21,PCS,D,C03
L64,16960,A19,C32,B30,PCS,C,C01
L78,14873,A15,C40,B26,PCS,D,C08
L83,18268,A13,C35,B25,PCS,C,C03
L34,10967,A20,C38,B28,PCS,D,C08
L55,11615,A13,C37,B26,PCS,D,C09
L68,14529,A12,C40,B24,PCS,D,C07
L73,11403,A13,C39,B23,PCS,C,C02
L78,15475,A12,C36,B27,PCS,C,C01
L90,18313,A20,C36,B20,PCS,D,C10
L96,11206,A19,C33,B22,PCS,D,C06
L13,11571,A11,C39,B26,PCS,D,C06
L18,19934,A18,C36,B26,PCS,D,C09
L48,13458,A17,C39,B23,PCS,C,C05
L50,15637,A11,C35,B24,PCS,D,C08
L62,19850,A20,C35,B21,PCS,C,C06
L66,17071,A16,C31,B24,PCS,C,C07
L67,19523,A14,C39,B23,PCS,D,C10
L83,16433,A15,C35,B21,PCS,C,C08
L97,13199,A11,C39,B28,PCS,D,C04
L14,13415,A10,C33,B28,PCS,C,C01
L15,12007,A15,C30,B25,PCS,C,C08
L37,12699,A20,C34,B30,PCS,C,C08
L65,19602,A16,C37,B24,PCS,C,C09
L66,15025,A20,C30,B22,PCS,D,C04
L68,19232,A15,C31,B26,PCS,D,C05
L86,19004,A13,C37,B26,PCS,D,C04
L17,14372,A19,C39,B29,PCS,D,C09
L24,17975,A15,C39,B30,PCS,C,C03
L33,15571,A11,C40,B20,PCS,D,C08
L37,15435,A18,C33,B20,PCS,C,C10
L48,14400,A18,C40,B30,PCS,C,C10
L54,12026,A10,C32,B30,PCS,C,C01
L81,10632,A13,C32,B21,PCS,C,C09
L88,16608,A18,C39,B25,PCS,D,C03
L39,11991,A19,C37,B30,PCS,D,C02
L66,14430,A13,C37,B25,PCS,C,C04
L68,18746,A16,C37,B23,PCS,C,C01
L70,15595,A20,C40,B20,PCS,D,C05
L18,12832,A20,C37,B29,PCS,D,C03
L32,13542,A16,C37,B26,PCS,C,C03
L37,14109,A11,C40,B20,PCS,C,C03
L66,17511,A17,C34,B27,PCS,C,C06
L74,17678,A13,C31,B24,PCS,C,C01
L31,14024,A20,C37,B27,PCS,C,C08
L65,18817,A18,C39,B24,PCS,D,C03
L93,13571,A13,C33,B30,PCS,C,C04
L91,17590,A16,C31,B22,PCS,D,C06
L97,17316,A12,C40,B22,PCS,D,C05
L98,14054,A13,C32,B26,PCS,D,C10
L14,16209,A20,C30,B26,PCS,D,C04
L34,18962,A13,C33,B25,PCS,D,C05
L46,19309,A12,C38,B24,PCS,C,C04
L55,13470,A12,C30,B24,PCS,C,C05
L63,11290,A11,C32,B25,PCS,C,C10
L65,15708,A16,C33,B24,PCS,D,C05
L70,12297,A14,C34,B21,PCS,D,C02
L74,13508,A14,C31,B30,PCS,D,C06
L95,10131,A17,C33,B29,PCS,D,C02
L17,16848,A19,C33,B23,PCS,D,C01
L26,12578,A10,C30,B28,PCS,D,C10
L31,13920,A14,C30,B26,PCS,C,C01
L48,10398,A14,C39,B29,PCS,D,C02
L50,16172,A10,C33,B28,PCS,D,C03
L55,14607,A18,C30,B25,PCS,C,C07
L71,17782,A15,C38,B20,PCS,C,C01
L74,19298,A14,C39,B28,PCS,D,C10
L87,12305,A10,C38,B26,PCS,D,C07
L14,15865,A11,C37,B26,PCS,D,C06
L14,19018,A20,C31,B20,PCS,D,C08
L25,16531,A10,C36,B26,PCS,C,C04
L25,17788,A18,C30,B20,PCS,D,C05
L36,17277,A18,C34,B25,PCS,C,C07
L59,12702,A11,C36,B20,PCS,C,C06
L81,17055,A12,C38,B26,PCS,D,C10
L85,15808,A15,C34,B20,PCS,D,C01
L95,18669,A15,C35,B22,PCS,C,C06
L20,13099,A16,C40,B28,PCS,D,C03
L21,14709,A17,C36,B22,PCS,C,C04
L38,14841,A12,C30,B26,PCS,C,C10
L43,12055,A14,C36,B26,PCS,C,C03
L44,13744,A20,C32,B27,PCS,C,C10
L57,12967,A10,C30,B24,PCS,C,C01
L93,12214,A20,C40,B28,PCS,D,C10
L12,13064,A20,C37,B30,PCS,C,C08
L16,12471,A13,C38,B21,PCS,C,C08
L25,10740,A10,C31,B26,PCS,C,C03
L30,16964,A14,C39,B24,PCS,D,C08
L61,19773,A13,C38,B26,PCS,D,C08
L77,14158,A20,C36,B20,PCS,C,C06
L82,19596,A16,C37,B25,PCS,D,C06
L98,17021,A10,C34,B24,PCS,C,C03
L13,18095,A15,C36,B29,PCS,D,C10
L17,10535,A17,C33,B30,PCS,D,C09
L20,16800,A13,C38,B20,PCS,C,C06
L22,15811,A20,C39,B23,PCS,D,C06
L31,16596,A14,C34,B21,PCS,D,C05
L33,12133,A13,C33,B22,PCS,C,C09
L46,18961,A19,C39,B28,PCS,C,C10
L50,17182,A10,C38,B29,PCS,D,C04
L50,19108,A12,C32,B21,PCS,D,C04
L98,12812,A16,C35,B20,PCS,C,C09
L14,14939,A15,C35,B25,PCS,D,C02
L31,11455,A16,C40,B23,PCS,D,C09
L45,13424,A12,C38,B30,PCS,C,C10
L45,12359,A13,C38,B28,PCS,C,C07
L73,15331,A17,C38,B20,PCS,D,C09
L92,11724,A13,C35,B22,PCS,C,C01
L16,17425,A11,C33,B28,PCS,C,C10
L46,11424,A15,C36,B30,PCS,D,C06
L61,17440,A12,C31,B27,PCS,C,C04
L62,18609,A12,C36,B30,PCS,C,C05
L65,18486,A15,C34,B21,PCS,C,C07
L65,19273,A20,C30,B25,PCS,D,C07
L84,16363,A11,C37,B22,PCS,C,C03
L16,10685,A19,C40,B25,PCS,D,C01
L20,16660,A12,C32,B29,PCS,D,C06
L24,13148,A17,C37,B29,PCS,C,C09
L48,13678,A10,C33,B21,PCS,D,C04
L62,11351,A18,C37,B22,PCS,D,C09
L69,13501,A16,C40,B27,PCS,C,C07
L22,11856,A18,C36,B22,PCS,D,C08
L27,19995,A18,C37,B22,PCS,C,C01
L45,12884,A14,C32,B30,PCS,D,C06
L49,15344,A12,C37,B21,PCS,D,C03
L50,18911,A15,C38,B23,PCS,C,C10
L51,18387,A15,C38,B22,PCS,C,C03
L60,11185,A16,C34,B26,PCS,C,C10
L67,15511,A13,C30,B27,PCS,D,C05
L67,19894,A19,C33,B27,PCS,C,C03
L79,10176,A12,C33,B23,PCS,D,C07
L81,10908,A17,C35,B28,PCS,C,C02
L83,10235,A13,C38,B21,PCS,D,C01
L85,12383,A15,C38,B22,PCS,D,C05
L87,14674,A12,C33,B22,PCS,C,C08
L89,18702,A19,C36,B21,PCS,D,C01
L89,17334,A17,C38,B24,PCS,D,C07
L15,13714,A19,C34,B23,PCS,C,C03
L17,18613,A19,C34,B30,PCS,C,C05
L19,17101,A10,C39,B28,PCS,D,C09
L22,16582,A18,C38,B22,PCS,D,C06
L24,14623,A17,C36,B21,PCS,C,C10
L36,14286,A17,C40,B25,PCS,D,C09
L44,17557,A11,C34,B21,PCS,C,C04
L94,13735,A11,C35,B24,PCS,D,C08
L59,18396,A15,C33,B20,PCS,C,C05
L79,14963,A14,C32,B28,PCS,D,C06
L81,13325,A15,C34,B27,PCS,D,C03
L85,13795,A19,C30,B25,PCS,C,C06
L11,19516,A14,C31,B21,PCS,D,C05
L12,13905,A14,C40,B28,PCS,C,C05
L14,11369,A13,C30,B30,PCS,C,C03
L42,12525,A20,C33,B21,PCS,D,C07
L43,18328,A11,C40,B21,PCS,C,C07
L64,19909,A14,C32,B24,PCS,D,C10
L81,18018,A16,C36,B23,PCS,C,C07
L83,10684,A10,C34,B22,PCS,C,C06
L89,18042,A14,C30,B30,PCS,D,C04
L91,10696,A20,C30,B25,PCS,D,C08
L92,10895,A18,C39,B26,PCS,C,C10
L16,12535,A17,C33,B30,PCS,C,C06
L25,17968,A18,C34,B27,PCS,D,C06
L45,16220,A18,C31,B28,PCS,C,C02
