Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency,Quantity(Count),Quantity(Max),Quantity(Min),Quantity(Sum)
L45,14194,A20,C35,B23,PCS,C,C09,1,19,19,19
L46,10413,A12,C32,B28,PCS,D,C06,1,566,566,566
L48,12090,A18,C34,B27,PCS,D,C01,1,133,133,133
L55,12450,A19,C37,B25,PCS,D,C07,2,188,143,331
L65,15378,A13,C40,B30,PCS,C,C09,3,836,117,1616
L74,11229,A18,C30,B22,PCS,C,C01,1,345,345,345
L16,14110,A15,C39,B24,PCS,D,C10,1,634,634,634
L33,16677,A17,C31,B29,PCS,D,C10,2,246,194,440
L41,16498,A17,C36,B21,PCS,D,C10,1,174,174,174
L40,13208,A17,C40,B26,PCS,C,C06,2,928,107,1035
L46,11919,A13,C35,B28,PCS,D,C09,2,550,273,823
L48,14469,A19,C38,B21,PCS,C,C10,1,892,892,892
L77,19741,A17,C30,B28,PCS,C,C08,1,650,650,650
L10,17441,A13,C32,B25,PCS,C,C09,2,586,21,607
L95,13805,A14,C39,B21,PCS,D,C05,1,565,565,565
L23,18077,A13,C30,B27,PCS,D,C02,1,603,603,603
L47,16307,A17,C38,B25,PCS,C,C03,1,878,878,878
L55,10846,A17,C37,B20,PCS,D,C06,1,837,837,837
L62,14843,A18,C38,B25,PCS,D,C01,1,649,649,649
L79,11831,A11,C37,B24,PCS,C,C05,1,6,6,6
L84,10998,A12,C35,B21,PCS,C,C04,2,862,457,1319
L88,11980,A16,C35,B23,PCS,D,C04,2,796,686,1482
L97,10956,A19,C32,B20,PCS,D,C01,2,766,164,930
L98,14725,A15,C32,B22,PCS,D,C10,1,808,808,808
L25,19476,A14,C31,B28,PCS,C,C08,2,479,23,502
L34,17411,A11,C30,B24,PCS,D,C07,2,929,124,1053
L47,19978,A15,C39,B26,PCS,D,C08,2,766,718,1484
L47,12541,A15,C30,B26,PCS,D,C08,1,950,950,950
L57,13855,A16,C38,B26,PCS,C,C03,1,931,931,931
L70,17483,A11,C30,B24,PCS,C,C06,1,732,732,732
L79,13179,A18,C36,B20,PCS,C,C04,2,852,460,1312
L16,17493,A16,C37,B29,PCS,D,C08,1,18,18,18
L50,14986,A16,C40,B20,PCS,C,C02,3,440,394,1256
L54,10393,A19,C38,B27,PCS,D,C06,1,875,875,875
L70,18227,A18,C34,B29,PCS,C,C08,1,893,893,893
L74,10880,A18,C37,B24,PCS,D,C09,1,728,728,728
L75,17376,A11,C40,B27,PCS,C,C08,1,678,678,678
L79,13919,A20,C40,B21,PCS,D,C03,2,393,86,479
L86,14539,A10,C34,B24,PCS,D,C08,1,17,17,17
L90,10219,A19,C30,B30,PCS,D,C05,1,350,350,350
L96,13832,A19,C32,B22,PCS,D,C07,1,913,913,913
L26,13954,A18,C40,B25,PCS,D,C06,1,273,273,273
L32,13218,A11,C33,B21,PCS,D,C07,1,254,254,254
L47,16271,A11,C34,B25,PCS,D,C04,3,886,175,1514
L65,19839,A17,C30,B27,PCS,D,C06,1,660,660,660
L18,18478,A17,C34,B27,PCS,C,C03,1,943,943,943
L19,14016,A18,C34,B21,PCS,C,C06,1,155,155,155
L60,12479,A10,C39,B22,PCS,C,C01,1,995,995,995
L78,13950,A10,C36,B28,PCS,D,C01,1,171,171,171
L23,15909,A13,C36,B27,PCS,C,C01,1,794,794,794
L28,10716,A11,C40,B24,PCS,D,C04,2,896,269,1165
L44,13305,A11,C38,B28,PCS,C,C07,2,343,131,474
L52,12447,A10,C31,B22,PCS,D,C02,1,96,96,96
L62,19210,A14,C32,B24,PCS,C,C04,1,707,707,707
L69,12351,A16,C37,B24,PCS,D,C06,2,817,202,1019
L72,18527,A19,C32,B20,PCS,C,C08,1,374,374,374
L74,10672,A13,C36,B28,PCS,D,C06,2,486,208,694
L81,14637,A10,C38,B29,PCS,C,C08,3,841,524,1956
L88,18758,A10,C39,B21,PCS,C,C01,4,745,226,1953
L88,13397,A12,C38,B27,PCS,C,C04,1,862,862,862
L90,17539,A20,C32,B25,PCS,C,C01,2,388,114,502
L12,13729,A15,C31,B28,PCS,C,C08,2,558,300,858
L97,13711,A13,C36,B28,PCS,D,C08,1,254,254,254
L18,19077,A11,C30,B24,PCS,C,C01,1,160,160,160
L39,15947,A16,C30,B29,PCS,C,C05,1,473,473,473
L39,14698,A10,C32,B26,PCS,D,C04,1,956,956,956
L69,15402,A14,C33,B26,PCS,D,C06,1,108,108,108
L50,14408,A14,C37,B21,PCS,D,C03,1,458,458,458
L64,15486,A11,C33,B26,PCS,D,C09,2,242,106,348
L69,19872,A10,C33,B29,PCS,C,C04,2,751,661,1412
L81,14080,A20,C32,B23,PCS,C,C03,1,811,811,811
L92,13753,A16,C37,B27,PCS,D,C06,1,392,392,392
L11,15005,A13,C39,B29,PCS,D,C09,1,402,402,402
L54,10514,A18,C38,B30,PCS,D,C06,3,789,88,1032
L72,19116,A17,C38,B21,PCS,C,C01,1,364,364,364
L74,14757,A12,C34,B22,PCS,C,C05,2,879,657,1536
L77,12715,A10,C35,B21,PCS,C,C02,1,822,822,822
L80,15923,A13,C39,B28,PCS,C,C07,1,348,348,348
L86,17461,A18,C39,B23,PCS,D,C02,1,367,367,367
L19,16390,A13,C35,B22,PCS,D,C07,1,287,287,287
L21,13802,A15,C31,B27,PCS,C,C05,2,555,424,979
L22,17962,A13,C39,B25,PCS,D,C03,2,627,239,866
L41,14591,A20,C38,B22,PCS,D,C09,2,776,663,1439
L72,10962,A19,C35,B26,PCS,D,C07,1,953,953,953
L73,11539,A11,C35,B27,PCS,C,C02,1,154,154,154
L74,10084,A12,C35,B22,PCS,D,C03,1,453,453,453
L80,12558,A16,C34,B23,PCS,D,C04,1,222,222,222
L87,12889,A12,C37,B22,PCS,C,C06,2,504,130,634
L90,11195,A11,C38,B25,PCS,C,C05,3,878,7,1531
L91,10504,A20,C33,B30,PCS,C,C10,1,828,828,828
L10,10773,A20,C34,B20,PCS,C,C07,2,977,920,1897
L30,10981,A14,C39,B20,PCS,D,C10,1,120,120,120
L35,13297,A18,C38,B29,PCS,D,C10,2,926,451,1377
L44,17481,A10,C32,B25,PCS,D,C08,1,73,73,73
L58,13147,A11,C30,B23,PCS,C,C06,1,50,50,50
L61,10662,A12,C34,B29,PCS,C,C03,2,746,281,1027
L74,15456,A10,C39,B21,PCS,C,C06,1,609,609,609
L79,13517,A13,C30,B24,PCS,D,C01,1,432,432,432
L80,17381,A10,C34,B23,PCS,C,C07,1,861,861,861
L85,15581,A19,C38,B20,PCS,D,C03,2,339,151,490
L92,17455,A10,C30,B30,PCS,C,C07,1,965,965,965
L44,16212,A19,C37,B22,PCS,D,C07,1,353,353,353
L49,19516,A12,C36,B26,PCS,D,C06,1,125,125,125
L70,10831,A17,C35,B25,PCS,C,C01,1,937,937,937
L70,10219,A19,C32,B21,PCS,D,C06,3,727,78,1507
L93,16507,A14,C38,B22,PCS,C,C03,1,787,787,787
L35,18622,A17,C37,B23,PCS,C,C04,3,954,615,2415
L41,15310,A13,C34,B20,PCS,C,C01,2,980,655,1635
L42,12291,A13,C40,B24,PCS,D,C07,1,989,989,989
L62,15216,A14,C39,B24,PCS,D,C06,1,737,737,737
L73,13346,A11,C31,B29,PCS,D,C10,2,652,295,947
L78,10989,A18,C36,B25,PCS,C,C08,2,882,66,948
L87,17227,A19,C34,B22,PCS,D,C01,1,350,350,350
L23,14447,A20,C38,B21,PCS,C,C05,2,256,250,506
L35,11401,A12,C39,B23,PCS,C,C03,2,812,294,1106
L36,16593,A11,C35,B25,PCS,D,C09,3,916,8,950
L46,17925,A15,C39,B21,PCS,C,C04,1,527,527,527
L53,18433,A18,C30,B25,PCS,C,C10,2,485,16,501
L58,17209,A10,C40,B29,PCS,C,C10,1,770,770,770
L62,12807,A16,C35,B21,PCS,D,C06,1,24,24,24
L72,12533,A16,C31,B23,PCS,D,C02,1,513,513,513
L74,19640,A19,C37,B20,PCS,D,C05,2,676,419,1095
L79,19412,A12,C31,B29,PCS,D,C05,1,623,623,623
L14,18530,A14,C31,B29,PCS,C,C08,3,607,1,666
L93,18837,A16,C36,B20,PCS,D,C03,1,533,533,533
L25,17073,A10,C40,B26,PCS,C,C07,2,205,164,369
L35,19416,A20,C30,B22,PCS,C,C10,2,915,482,1397
L48,10686,A14,C33,B24,PCS,C,C10,1,34,34,34
L57,15720,A16,C32,B27,PCS,D,C01,1,404,404,404
L76,12209,A17,C36,B23,PCS,D,C04,2,927,645,1572
L79,18939,A13,C30,B30,PCS,C,C02,1,938,938,938
L83,14298,A12,C30,B29,PCS,C,C09,2,909,5,914
L99,12039,A12,C33,B22,PCS,C,C10,2,264,10,274
L64,10614,A13,C39,B29,PCS,C,C02,3,548,215,992
L71,15999,A15,C30,B30,PCS,D,C03,1,991,991,991
L84,11493,A14,C32,B25,PCS,D,C03,1,605,605,605
L89,12833,A16,C32,B22,PCS,D,C09,1,150,150,150
L95,11266,A14,C35,B21,PCS,C,C02,2,983,110,1093
L18,13570,A11,C34,B22,PCS,C,C05,2,703,224,927
L21,12520,A10,C37,B30,PCS,D,C01,1,834,834,834
L41,16251,A18,C31,B23,PCS,D,C03,2,214,42,256
L60,14723,A12,C40,B29,PCS,D,C09,1,567,567,567
L64,17013,A20,C38,B23,PCS,D,C08,1,153,153,153
L69,18302,A18,C38,B29,PCS,D,C09,2,737,20,757
L71,14538,A15,C31,B26,PCS,D,C02,1,535,535,535
L77,13174,A16,C34,B26,PCS,C,C05,1,586,586,586
L13,19129,A11,C37,B23,PCS,D,C04,1,383,383,383
L97,17754,A16,C35,B21,PCS,C,C07,1,579,579,579
L19,11193,A20,C35,B25,PCS,C,C05,1,472,472,472
L28,17681,A13,C40,B24,PCS,C,C07,1,25,25,25
L49,16737,A20,C38,B21,PCS,D,C02,1,356,356,356
L52,11889,A10,C34,B30,PCS,D,C07,1,847,847,847
L56,12337,A13,C39,B29,PCS,D,C05,1,236,236,236
L66,13397,A17,C38,B23,PCS,C,C06,2,451,378,829
L70,14266,A10,C38,B24,PCS,C,C03,2,866,751,1617
L70,13407,A14,C30,B24,PCS,D,C09,1,794,794,794
L94,10225,A19,C30,B24,PCS,C,C06,1,872,872,872
L17,15982,A13,C30,B24,PCS,C,C10,1,858,858,858
L22,13997,A14,C35,B26,PCS,D,C06,1,346,346,346
L23,12082,A17,C39,B21,PCS,D,C07,2,509,413,922
L26,18798,A10,C31,B22,PCS,C,C06,2,482,413,895
L43,12904,A15,C30,B23,PCS,D,C10,1,226,226,226
L43,18536,A11,C37,B29,PCS,C,C02,2,787,74,861
L44,14677,A20,C35,B25,PCS,D,C09,1,600,600,600
L55,17869,A17,C31,B23,PCS,D,C04,1,137,137,137
L25,14078,A15,C35,B25,PCS,D,C05,1,274,274,274
L46,12269,A14,C35,B29,PCS,C,C03,2,918,548,1466
L62,15963,A16,C34,B20,PCS,D,C05,2,783,557,1340
L64,11912,A11,C36,B30,PCS,C,C07,1,673,673,673
L66,14477,A20,C39,B28,PCS,C,C08,1,494,494,494
L78,14807,A14,C31,B22,PCS,D,C02,2,632,73,705
L82,14992,A12,C34,B23,PCS,C,C04,1,35,35,35
L89,14597,A12,C39,B21,PCS,D,C05,1,921,921,921
L97,10230,A11,C40,B27,PCS,C,C09,2,742,30,772
L50,15433,A17,C37,B25,PCS,C,C02,2,345,77,422
L56,11095,A19,C38,B22,PCS,C,C05,1,995,995,995
L76,15012,A17,C39,B20,PCS,D,C02,1,921,921,921
L75,13221,A10,C39,B25,PCS,C,C03,2,592,333,925
L96,17860,A10,C40,B29,PCS,C,C05,2,797,300,1097
L98,19062,A20,C33,B27,PCS,C,C09,2,912,541,1453
L39,16768,A17,C37,B26,PCS,D,C04,2,68,49,117
L40,17107,A16,C36,B26,PCS,D,C09,3,908,463,1892
L68,11045,A13,C39,B26,PCS,C,C03,2,788,232,1020
L68,10195,A16,C36,B26,PCS,D,C07,2,557,114,671
L72,14212,A11,C38,B28,PCS,C,C09,1,311,311,311
L78,12387,A10,C34,B20,PCS,D,C09,1,320,320,320
L85,14191,A12,C40,B20,PCS,D,C09,1,917,917,917
L99,10360,A12,C36,B23,PCS,D,C10,4,728,81,2173
L24,10454,A15,C37,B24,PCS,D,C07,2,361,260,621
L25,18419,A14,C34,B30,PCS,C,C10,2,790,361,1151
L52,11619,A11,C34,B29,PCS,C,C01,1,750,750,750
L75,15665,A16,C36,B20,PCS,C,C09,1,580,580,580
L89,11247,A17,C38,B27,PCS,C,C03,1,138,138,138
L13,12128,A16,C33,B21,PCS,D,C07,1,821,821,821
L92,15651,A12,C32,B25,PCS,C,C09,2,729,330,1059
L93,14655,A20,C34,B26,PCS,D,C08,2,158,121,279
L93,18770,A19,C37,B28,PCS,D,C08,4,946,78,1420
L22,13990,A15,C36,B23,PCS,C,C04,1,525,525,525
L38,15338,A11,C30,B20,PCS,C,C07,1,97,97,97
L51,19824,A13,C31,B27,PCS,D,C01,1,246,246,246
L84,14250,A19,C31,B23,PCS,D,C04,2,839,833,1672
L19,19163,A16,C40,B30,PCS,D,C06,1,193,193,193
L28,15037,A14,C40,B29,PCS,D,C08,1,268,268,268
L52,15688,A15,C31,B22,PCS,D,C05,4,844,238,2141
L74,11005,A18,C34,B24,PCS,D,C08,3,990,9,1325
L10,14612,A14,C37,B22,PCS,D,C03,2,959,499,1458
L96,11496,A20,C35,B24,PCS,D,C10,1,969,969,969
L20,13678,A14,C35,B29,PCS,C,C06,1,915,915,915
L24,11698,A12,C31,B30,PCS,D,C06,1,573,573,573
L31,19790,A10,C36,B25,PCS,C,C07,1,310,310,310
L38,12949,A16,C33,B24,PCS,D,C05,1,273,273,273
L41,13485,A17,C34,B26,PCS,C,C09,1,719,719,719
L44,19598,A10,C30,B21,PCS,D,C07,1,220,220,220
L45,12491,A15,C40,B25,PCS,C,C01,2,620,68,688
L52,11434,A15,C38,B27,PCS,C,C07,1,72,72,72
L61,16950,A20,C37,B20,PCS,D,C01,2,978,639,1617
L80,16881,A13,C32,B25,PCS,D,C06,1,631,631,631
L84,13344,A20,C31,B30,PCS,C,C05,3,575,190,1104
L25,19327,A14,C31,B26,PCS,D,C01,1,658,658,658
L28,10312,A13,C30,B30,PCS,D,C05,1,642,642,642
L29,14304,A11,C32,B29,PCS,D,C06,1,869,869,869
L37,12877,A16,C39,B23,PCS,C,C01,2,693,191,884
L50,12218,A11,C38,B29,PCS,D,C01,3,902,457,2197
L52,18744,A14,C35,B23,PCS,C,C06,1,237,237,237
L55,15122,A15,C38,B23,PCS,C,C07,1,834,834,834
L58,11129,A14,C35,B26,PCS,D,C03,1,748,748,748
L77,18657,A10,C39,B24,PCS,C,C06,2,891,186,1077
L12,14693,A15,C34,B26,PCS,C,C09,1,980,980,980
L15,18827,A17,C34,B27,PCS,D,C03,2,647,16,663
L97,16575,A16,C30,B29,PCS,D,C09,1,211,211,211
L26,16655,A19,C36,B24,PCS,C,C03,2,818,787,1605
L27,14464,A16,C31,B25,PCS,D,C06,2,677,165,842
L33,19470,A12,C39,B22,PCS,D,C04,1,437,437,437
L38,17305,A11,C32,B24,PCS,D,C04,1,406,406,406
L43,17247,A12,C34,B20,PCS,D,C03,1,513,513,513
L54,12181,A10,C31,B27,PCS,D,C05,1,568,568,568
L54,11693,A20,C32,B28,PCS,D,C10,1,679,679,679
L62,14031,A17,C40,B26,PCS,D,C07,1,856,856,856
L72,18630,A14,C36,B29,PCS,D,C09,1,590,590,590
L81,11544,A14,C39,B21,PCS,C,C10,1,735,735,735
L95,16811,A12,C36,B24,PCS,D,C09,1,413,413,413
L20,19068,A10,C37,B24,PCS,D,C03,1,768,768,768
L30,17696,A14,C38,B30,PCS,C,C05,1,908,908,908
L34,13916,A14,C32,B22,PCS,D,C04,1,440,440,440
L39,12423,A10,C39,B21,PCS,C,C05,3,747,18,1202
L43,13675,A13,C33,B24,PCS,D,C10,2,870,798,1668
L74,13216,A11,C32,B27,PCS,C,C04,1,680,680,680
L79,15331,A12,C33,B20,PCS,D,C03,1,149,149,149
L81,12863,A14,C38,B20,PCS,D,C09,1,790,790,790
L88,11014,A11,C39,B21,PCS,C,C10,2,617,238,855
L99,10845,A13,C32,B23,PCS,C,C06,3,946,671,2317
L35,16182,A11,C39,B25,PCS,D,C09,1,82,82,82
L43,11517,A20,C40,B22,PCS,C,C03,2,934,72,1006
L48,13600,A14,C39,B28,PCS,D,C09,1,531,531,531
L50,12481,A15,C34,B27,PCS,D,C07,2,655,580,1235
L84,17340,A19,C30,B22,PCS,D,C06,2,624,106,730
L90,11220,A18,C38,B22,PCS,C,C01,1,33,33,33
L96,11929,A14,C34,B24,PCS,D,C05,2,345,253,598
L30,11085,A19,C32,B30,PCS,C,C01,1,477,477,477
L69,16177,A12,C31,B29,PCS,D,C08,1,729,729,729
L78,19609,A16,C39,B30,PCS,D,C09,1,408,408,408
L83,18676,A14,C30,B30,PCS,C,C07,2,982,476,1458
L86,19317,A15,C34,B26,PCS,C,C06,3,869,399,1860
L95,17508,A13,C30,B23,PCS,D,C03,1,827,827,827
L96,15104,A11,C33,B20,PCS,D,C06,1,783,783,783
L37,11445,A12,C37,B28,PCS,D,C05,2,371,259,630
L47,15374,A18,C38,B25,PCS,C,C09,1,219,219,219
L52,18863,A14,C35,B29,PCS,C,C07,2,906,431,1337
L53,14839,A15,C38,B21,PCS,D,C07,1,633,633,633
L56,15309,A17,C38,B22,PCS,C,C09,2,886,422,1308
L69,11522,A19,C33,B24,PCS,C,C09,1,962,962,962
L11,19140,A20,C33,B23,PCS,C,C08,1,737,737,737
L14,13518,A19,C32,B22,PCS,D,C10,2,899,898,1797
L17,11827,A12,C34,B22,PCS,C,C03,1,286,286,286
L52,10755,A16,C34,B29,PCS,C,C06,1,370,370,370
L53,12204,A10,C31,B30,PCS,C,C04,1,514,514,514
L61,15877,A15,C38,B26,PCS,D,C05,1,940,940,940
L63,13944,A17,C38,B21,PCS,D,C02,4,865,375,2494
L92,19909,A14,C31,B30,PCS,C,C03,3,580,12,999
L94,10995,A19,C34,B28,PCS,C,C06,1,253,253,253
L38,11869,A13,C33,B20,PCS,C,C04,1,979,979,979
L46,11969,A10,C35,B27,PCS,D,C08,1,980,980,980
L57,17690,A19,C32,B20,PCS,D,C10,1,138,138,138
L67,15243,A14,C31,B21,PCS,D,C01,1,400,400,400
L82,16416,A11,C37,B26,PCS,D,C06,2,577,450,1027
L83,15446,A13,C38,B26,PCS,D,C06,1,721,721,721
L88,14678,A19,C31,B25,PCS,D,C09,1,901,901,901
L10,16560,A12,C31,B26,PCS,C,C09,1,143,143,143
L14,17735,A19,C36,B24,PCS,C,C05,1,45,45,45
L18,18048,A19,C30,B27,PCS,C,C03,3,997,217,1659
L25,16531,A10,C36,B26,PCS,C,C04,1,129,129,129
L31,18990,A18,C30,B26,PCS,D,C02,2,786,642,1428
L34,13876,A18,C34,B22,PCS,C,C04,2,860,596,1456
L68,19592,A10,C38,B27,PCS,C,C06,2,740,592,1332
L69,18533,A12,C30,B25,PCS,C,C05,2,581,273,854
L70,10283,A15,C40,B24,PCS,D,C09,2,898,356,1254
L84,15379,A20,C31,B30,PCS,C,C05,1,549,549,549
L11,13561,A18,C37,B22,PCS,D,C10,2,531,139,670
L12,14815,A17,C37,B30,PCS,C,C03,3,516,13,795
L96,12938,A15,C32,B20,PCS,D,C08,2,564,301,865
L24,10949,A12,C36,B24,PCS,D,C07,2,420,387,807
L25,19614,A13,C30,B29,PCS,D,C04,2,946,213,1159
L39,10933,A16,C40,B23,PCS,D,C07,2,956,69,1025
L58,10948,A10,C32,B23,PCS,D,C06,2,771,267,1038
L74,15874,A16,C32,B28,PCS,D,C02,1,183,183,183
L75,10946,A11,C40,B28,PCS,D,C06,1,525,525,525
L94,17413,A12,C30,B24,PCS,C,C05,2,584,441,1025
L29,11745,A10,C31,B26,PCS,D,C10,2,600,157,757
L59,19480,A12,C30,B28,PCS,D,C09,1,904,904,904
L63,15245,A17,C34,B29,PCS,D,C10,3,750,137,1117
L71,12362,A20,C40,B26,PCS,C,C03,1,711,711,711
L80,13222,A12,C35,B26,PCS,D,C04,1,367,367,367
L77,12649,A12,C32,B23,PCS,D,C03,1,187,187,187
L83,14863,A17,C36,B25,PCS,D,C02,2,608,453,1061
L84,17306,A17,C37,B30,PCS,D,C01,2,666,406,1072
L88,13121,A18,C36,B30,PCS,D,C06,1,567,567,567
L93,13419,A12,C33,B22,PCS,C,C07,3,707,28,1104
L97,16832,A18,C37,B30,PCS,D,C03,1,289,289,289
L17,19703,A20,C38,B22,PCS,D,C08,2,751,11,762
L20,15446,A11,C33,B30,PCS,C,C01,1,307,307,307
L28,14084,A12,C36,B21,PCS,C,C05,1,514,514,514
L44,17853,A11,C31,B21,PCS,C,C04,1,272,272,272
L67,14159,A17,C30,B24,PCS,D,C04,1,141,141,141
L80,15429,A19,C35,B24,PCS,C,C03,1,105,105,105
L86,16387,A16,C34,B27,PCS,D,C06,1,153,153,153
L10,14584,A18,C38,B23,PCS,C,C03,3,378,92,619
L15,16489,A18,C36,B20,PCS,D,C01,1,532,532,532
L27,19065,A19,C40,B26,PCS,D,C07,1,673,673,673
L37,19179,A20,C31,B25,PCS,C,C09,2,833,507,1340
L39,15947,A13,C32,B24,PCS,C,C01,1,870,870,870
L43,11003,A16,C39,B20,PCS,C,C05,1,694,694,694
L84,13011,A10,C37,B28,PCS,C,C04,2,853,228,1081
L95,12525,A19,C35,B23,PCS,D,C08,1,102,102,102
L97,19860,A12,C37,B25,PCS,C,C09,2,202,71,273
L25,17511,A14,C31,B20,PCS,D,C06,1,932,932,932
L26,17911,A12,C33,B23,PCS,D,C08,1,528,528,528
L27,19240,A16,C36,B22,PCS,C,C06,1,980,980,980
L33,10328,A13,C32,B28,PCS,D,C09,1,614,614,614
L40,17217,A17,C32,B22,PCS,C,C06,1,305,305,305
L69,19963,A12,C35,B22,PCS,C,C03,2,950,581,1531
L74,14612,A16,C39,B20,PCS,C,C08,1,311,311,311
L95,19129,A20,C34,B25,PCS,C,C05,2,541,129,670
L40,14594,A11,C31,B27,PCS,C,C07,1,828,828,828
L58,19333,A17,C38,B27,PCS,D,C04,2,895,63,958
L80,18919,A19,C35,B20,PCS,D,C01,1,402,402,402
L85,13434,A11,C35,B24,PCS,C,C08,1,621,621,621
L12,16568,A10,C32,B20,PCS,C,C04,1,248,248,248
L17,18155,A14,C35,B30,PCS,C,C05,1,632,632,632
L28,19034,A15,C33,B23,PCS,D,C06,2,964,626,1590
L79,18382,A19,C37,B28,PCS,C,C08,1,190,190,190
L82,13218,A12,C34,B26,PCS,D,C04,2,952,402,1354
L99,11373,A14,C40,B21,PCS,C,C05,2,324,247,571
L22,15139,A18,C30,B30,PCS,D,C01,4,555,293,1749
L24,15023,A12,C31,B27,PCS,D,C02,2,968,634,1602
L35,18661,A17,C40,B23,PCS,D,C01,1,389,389,389
L36,13010,A19,C33,B26,PCS,C,C09,1,685,685,685
L44,15425,A18,C39,B21,PCS,C,C08,2,723,405,1128
L54,12863,A11,C38,B30,PCS,C,C10,3,824,368,1823
L77,19450,A19,C39,B30,PCS,C,C06,1,308,308,308
L12,15048,A10,C34,B25,PCS,D,C06,1,641,641,641
L15,11534,A19,C35,B20,PCS,C,C08,1,725,725,725
L17,10820,A19,C39,B28,PCS,C,C05,1,441,441,441
L61,12047,A11,C34,B29,PCS,C,C10,2,553,530,1083
L65,15032,A11,C30,B21,PCS,C,C07,1,906,906,906
L71,19669,A16,C38,B22,PCS,C,C08,2,990,8,998
L72,19439,A14,C38,B27,PCS,C,C01,1,725,725,725
L77,19610,A11,C38,B22,PCS,C,C06,2,404,176,580
L84,13556,A19,C35,B29,PCS,C,C05,3,893,24,1313
L95,18871,A13,C31,B29,PCS,D,C09,2,715,712,1427
L26,16828,A16,C30,B25,PCS,C,C03,1,459,459,459
L35,11484,A15,C37,B28,PCS,C,C09,2,965,792,1757
L43,10346,A14,C36,B26,PCS,D,C03,2,945,749,1694
L49,11619,A18,C35,B26,PCS,D,C10,2,946,254,1200
L66,11578,A18,C38,B23,PCS,D,C02,2,717,674,1391
L92,11044,A11,C32,B26,PCS,C,C03,1,411,411,411
L93,16624,A18,C33,B26,PCS,D,C01,2,813,69,882
L51,16332,A17,C35,B26,PCS,C,C09,1,403,403,403
L53,10574,A17,C33,B22,PCS,C,C07,1,297,297,297
L55,11637,A12,C37,B26,PCS,C,C04,1,693,693,693
L59,11146,A10,C36,B29,PCS,D,C07,1,146,146,146
L62,13202,A17,C36,B27,PCS,C,C07,2,657,214,871
L68,18157,A10,C39,B24,PCS,D,C10,1,617,617,617
L77,14696,A19,C38,B29,PCS,D,C01,1,561,561,561
L81,11493,A12,C32,B25,PCS,D,C10,1,752,752,752
L24,19644,A10,C39,B22,PCS,C,C01,1,559,559,559
L25,17968,A18,C34,B27,PCS,D,C06,1,623,623,623
L73,16335,A10,C35,B25,PCS,C,C06,1,936,936,936
L87,11111,A18,C32,B27,PCS,C,C10,1,177,177,177
L18,15956,A10,C31,B24,PCS,C,C06,2,443,328,771
L31,19543,A11,C35,B29,PCS,C,C07,3,807,366,1929
L39,16953,A15,C33,B23,PCS,D,C03,3,418,106,663
L39,12435,A13,C30,B21,PCS,D,C03,1,73,73,73
L47,14633,A18,C31,B20,PCS,D,C02,2,481,246,727
L48,17795,A11,C37,B28,PCS,C,C05,2,556,136,692
L48,10305,A10,C37,B22,PCS,D,C04,3,751,185,1425
L58,16420,A12,C37,B27,PCS,C,C05,2,553,126,679
L65,14696,A16,C40,B29,PCS,D,C01,1,442,442,442
L72,12832,A16,C39,B21,PCS,D,C03,2,986,263,1249
L13,14570,A13,C33,B29,PCS,C,C05,1,195,195,195
L93,17552,A10,C40,B24,PCS,D,C07,1,710,710,710
L95,16780,A17,C30,B29,PCS,C,C05,3,972,206,1603
L99,17840,A20,C31,B30,PCS,D,C01,1,290,290,290
L25,14040,A15,C33,B27,PCS,D,C07,3,996,152,2098
L52,15118,A18,C36,B27,PCS,D,C08,2,951,624,1575
L56,14402,A20,C36,B20,PCS,C,C05,1,589,589,589
L64,13571,A13,C34,B29,PCS,D,C04,2,807,242,1049
L70,12848,A13,C39,B25,PCS,D,C02,1,772,772,772
L71,19892,A17,C33,B23,PCS,C,C03,1,7,7,7
L77,15580,A12,C40,B21,PCS,D,C08,2,16,12,28
L77,13332,A14,C35,B21,PCS,C,C04,1,222,222,222
L37,15031,A14,C38,B27,PCS,D,C06,1,644,644,644
L37,17257,A12,C38,B21,PCS,D,C08,1,758,758,758
L52,11650,A14,C33,B28,PCS,C,C01,2,873,605,1478
L61,16802,A20,C37,B30,PCS,C,C06,1,44,44,44
L62,18294,A14,C34,B29,PCS,D,C09,1,920,920,920
L66,10843,A19,C31,B26,PCS,D,C09,1,346,346,346
L68,11356,A11,C34,B24,PCS,D,C07,1,456,456,456
L68,15704,A19,C35,B29,PCS,D,C04,2,332,60,392
L90,13302,A12,C39,B20,PCS,C,C08,1,939,939,939
L34,15562,A10,C33,B27,PCS,C,C04,1,186,186,186
L40,13748,A19,C34,B23,PCS,C,C09,1,290,290,290
L62,17252,A19,C40,B28,PCS,D,C07,2,601,52,653
L70,10399,A14,C33,B27,PCS,C,C06,1,437,437,437
L85,11826,A10,C36,B25,PCS,D,C02,2,132,75,207
L86,19371,A15,C40,B20,PCS,D,C01,1,199,199,199
L23,12354,A12,C40,B24,PCS,C,C10,1,160,160,160
L42,14484,A10,C40,B24,PCS,C,C03,2,611,385,996
L45,19971,A18,C37,B30,PCS,D,C10,2,344,31,375
L50,18628,A17,C40,B27,PCS,C,C05,2,523,39,562
L58,11465,A16,C32,B27,PCS,C,C05,1,685,685,685
L87,17375,A14,C33,B30,PCS,C,C04,2,217,111,328
L36,10858,A20,C40,B26,PCS,D,C08,1,389,389,389
